[00:00:03] WARNING | Medium: Suspicious Port Probing from 10.186.171.135 | 10.186.171.135
[00:00:27] CRITICAL | High: Port Scan Detected from 8.8.8.8 (3 ports) | 8.8.8.8
[00:00:38] WARNING | Medium: Suspicious Port Probing from 10.186.171.135 | 10.186.171.135
[00:00:38] WARNING | Medium: Suspicious Port Probing from 20.42.65.94 | 20.42.65.94
[00:00:54] WARNING | Medium: Suspicious Port Probing from 10.186.171.135 | 10.186.171.135
[00:00:54] WARNING | Medium: Suspicious Port Probing from 8.8.8.8 | 8.8.8.8
[00:01:33] CRITICAL | High: Port Scan Detected from 8.8.8.8 (3 ports) | 8.8.8.8
[00:02:08] CRITICAL | High: Port Scan Detected from 8.8.8.8 (3 ports) | 8.8.8.8
[00:02:46] WARNING | Medium: Suspicious Port Probing from 16.145.249.71 | 16.145.249.71
[00:03:03] WARNING | Medium: Suspicious Port Probing from 16.145.249.71 | 16.145.249.71
[00:03:19] WARNING | Medium: Suspicious Port Probing from 10.186.171.135 | 10.186.171.135
[00:03:49] WARNING | Medium: Suspicious Port Probing from 16.145.249.71 | 16.145.249.71
[00:04:27] WARNING | Medium: Suspicious Port Probing from 10.186.171.135 | 10.186.171.135
[00:04:33] WARNING | Medium: Suspicious Port Probing from 16.145.249.71 | 16.145.249.71
[00:05:20] WARNING | Medium: Suspicious Port Probing from 10.186.171.135 | 10.186.171.135
[00:05:25] CRITICAL | High: Port Scan Detected from 8.8.8.8 (3 ports) | 8.8.8.8
[00:05:26] WARNING | Medium: Suspicious Port Probing from 35.237.69.59 | 35.237.69.59
[00:05:27] WARNING | Medium: Suspicious Port Probing from 44.231.184.99 | 44.231.184.99
[00:05:28] WARNING | Medium: Suspicious Port Probing from 8.8.8.8 | 8.8.8.8
[00:05:53] WARNING | Medium: Suspicious Port Probing from 10.186.171.135 | 10.186.171.135
[00:05:53] CRITICAL | High: Port Scan Detected from 8.8.8.8 (3 ports) | 8.8.8.8
[00:06:59] WARNING | Medium: Suspicious Port Probing from 10.186.171.135 | 10.186.171.135
[00:07:31] WARNING | Medium: Suspicious Port Probing from 10.186.171.135 | 10.186.171.135
[00:07:31] CRITICAL | High: Port Scan Detected from 8.8.8.8 (3 ports) | 8.8.8.8
[00:08:00] WARNING | Medium: Suspicious Port Probing from 10.186.171.135 | 10.186.171.135
